laser wavelength;level;pot;scatt
535;6s 2 S 1/2;1.4071517516823708e-36;1.0215402081945797e-09
535;7p 2 P ?3/2;5.442419419073909e-37;7.986678076930471e-10
535;7s 2 S 1/2;4.409127580924275e-37;1.385209145522196e-09
535;6p 2 P ?1/2;-1.6759938375452794e-36;6.8876803662430504e-09
535;6p 2 P ?3/2;5.890934889582733e-35;3.0106237516043575e-06
535;5d 2 D 3/2;2.1168975871478068e-36;1.1804821111498248e-09
535;5d 2 D 5/2;2.9255285756879884e-36;2.0524560260944982e-09
767;6s 2 S 1/2;8.377954394082428e-36;1.2079119019252194e-08
767;7p 2 P ?3/2;1.3166281290339293e-36;1.2688517678356292e-09
767;7s 2 S 1/2;6.131492591625473e-37;2.398664891377769e-09
767;6p 2 P ?1/2;-3.541071163651924e-36;8.036768597503483e-09
767;6p 2 P ?3/2;-8.030109028176403e-37;1.4619908748098768e-08
767;5d 2 D 3/2;5.126611920751306e-36;1.6587999431651804e-08
767;5d 2 D 5/2;5.632398044472898e-36;2.4349851900035758e-08
880;6s 2 S 1/2;1.8792412723768146e-35;3.8472731290706055e-07
880;7p 2 P ?3/2;1.9862182899390842e-36;1.5614050676456798e-09
880;7s 2 S 1/2;4.649802830522845e-37;3.1961909410058594e-09
880;6p 2 P ?1/2;-9.329422432669959e-35;1.0366043716156676e-06
880;6p 2 P ?3/2;3.8513946691095224e-35;1.487603467230212e-07
880;5d 2 D 3/2;3.9319306490379505e-36;1.586414019917073e-08
880;5d 2 D 5/2;3.789805416918014e-36;2.6234074613865383e-08
1064;6s 2 S 1/2;-7.458417334996487e-36;3.4970474162080764e-09
1064;7p 2 P ?3/2;4.164423795806787e-36;2.223815531625118e-09
1064;7s 2 S 1/2;-9.785839701211733e-37;5.90826222775587e-09
1064;6p 2 P ?1/2;6.801111160665086e-36;4.287757831533436e-09
1064;6p 2 P ?3/2;2.497960916741382e-37;7.92275194054843e-09
1064;5d 2 D 3/2;-2.3208593575657307e-35;5.387037957994008e-08
1064;5d 2 D 5/2;-3.944256029584601e-35;1.419143091658412e-07
535;6s 2 S 1/2;1.4071517516823708e-36;1.0215402081945797e-09
535;7p 2 P ?3/2;5.442419419073909e-37;7.986678076930471e-10
535;7s 2 S 1/2;4.409127580924275e-37;1.385209145522196e-09
535;6p 2 P ?1/2;-1.6759938375452794e-36;6.8876803662430504e-09
535;6p 2 P ?3/2;5.890934889582733e-35;3.0106237516043575e-06
535;5d 2 D 3/2;2.1168975871478068e-36;1.1804821111498248e-09
535;5d 2 D 5/2;2.9255285756879884e-36;2.0524560260944982e-09
767;6s 2 S 1/2;8.377954394082428e-36;1.2079119019252194e-08
767;7p 2 P ?3/2;1.3166281290339293e-36;1.2688517678356292e-09
767;7s 2 S 1/2;6.131492591625473e-37;2.398664891377769e-09
767;6p 2 P ?1/2;-3.541071163651924e-36;8.036768597503483e-09
767;6p 2 P ?3/2;-8.030109028176403e-37;1.4619908748098768e-08
767;5d 2 D 3/2;5.126611920751306e-36;1.6587999431651804e-08
767;5d 2 D 5/2;5.632398044472898e-36;2.4349851900035758e-08
880;6s 2 S 1/2;1.8792412723768146e-35;3.8472731290706055e-07
880;7p 2 P ?3/2;1.9862182899390842e-36;1.5614050676456798e-09
880;7s 2 S 1/2;4.649802830522845e-37;3.1961909410058594e-09
880;6p 2 P ?1/2;-9.329422432669959e-35;1.0366043716156676e-06
880;6p 2 P ?3/2;3.8513946691095224e-35;1.487603467230212e-07
880;5d 2 D 3/2;3.9319306490379505e-36;1.586414019917073e-08
880;5d 2 D 5/2;3.789805416918014e-36;2.6234074613865383e-08
1064;6s 2 S 1/2;-7.458417334996487e-36;3.4970474162080764e-09
1064;7p 2 P ?3/2;4.164423795806787e-36;2.223815531625118e-09
1064;7s 2 S 1/2;-9.785839701211733e-37;5.90826222775587e-09
1064;6p 2 P ?1/2;6.801111160665086e-36;4.287757831533436e-09
1064;6p 2 P ?3/2;2.497960916741382e-37;7.92275194054843e-09
1064;5d 2 D 3/2;-2.3208593575657307e-35;5.387037957994008e-08
1064;5d 2 D 5/2;-3.944256029584601e-35;1.419143091658412e-07
